!Land Use Parameters by Season (spring,summer,autumn,winter)
num_cat= 28
num_sup= 5
super_class= 1 2 2 2 2 2 2 2 2 2 3 3 3 3 3 5 2 3 4 2 3 2 4 4 1 2 2 2 
Roughness (m)    
   1.0e+0    2.0e+0    2.0e+0    2.0e+0   ! 27=Not Used
   1.0e+0    2.0e+0    2.0e+0    2.0e+0   ! 28=Unclassified 
   2.0e+0    4.0e+0    4.0e+0    2.0e+0   ! 1001=Urban Superclass 
   1.0e+0    2.0e+0    2.0e+0    2.0e+0   ! 1002=Grassland Superclass
   1.5e+0    6.0e-1    1.5e+0    2.0e+0   ! 1003=Forest Superclass  
   5.0e+0    6.0e+0    1.0e+1    1.0e+1   ! 1004=Desert Superclass 
   1.0e-1    1.0e-1    1.0e-1    1.0e-1   ! 1005=Water Superclass 
Bowen Ratio - Normal        
   1.0e+0    2.0e+0    2.0e+0    1.0e+0   !  1=Developed 
   1.0e+0    1.5e+0    1.5e+0    1.5e+0   !  2=Dry Cropland & Pasture
   5.0e-1    5.0e-1    5.0e-1    7.0e-1   !  3=Irrigated Cropland 
   5.0e-1    1.0e+0    1.0e+0    1.0e+0   !  4=Missing 
   5.0e-1    7.0e-1    1.0e+0    1.0e+0   !  5=Cropland/Grassland 
   5.0e-1    5.0e-1    7.0e-1    1.0e+0   !  6=Cropland/Woodland 
   5.0e-1    1.0e+0    1.0e+0    1.0e+0   !  7=Grassland 
   5.0e-1    5.0e-1    7.0e-1    1.0e+0   !  8=Shrubland 
   5.0e-1    7.0e-1    9.0e-1    1.0e+0   !  9=Shrubland/Grassland
   5.0e-1    1.0e+0    1.0e+0    1.0e+0   ! 10=Savanna 
   8.0e-1    3.0e-1    8.0e-1    1.0e+0   ! 11=Deciduous Broadleaf Forest 
   8.0e-1    3.0e-1    8.0e-1    1.0e+0   ! 12=Deciduous Needleleaf Forest 
   8.0e-1    3.0e-1    8.0e-1    1.0e+0   ! 13=Evergreen Broadleaf Forest 
   8.0e-1    3.0e-1    8.0e-1    1.0e+0   ! 14=Evergreen Needleleaf Forest 
   8.0e-1    3.0e-1    8.0e-1    1.0e+0   ! 15=Mixed Forest 
   1.0e-1    1.0e-1    1.0e-1    1.0e-1   ! 16=Water 
   1.0e-1    1.0e-1    1.0e-1    1.0e-1   ! 17=Herbaceous Wetland 
   2.0e-1    2.0e-1    2.0e-1    2.0e-1   ! 18=Wooded Wetland 
   3.0e+0    4.0e+0    6.0e+0    6.0e+0   ! 19=Barren 
   3.0e-1    3.0e-1    3.0e-1    1.0e+0   ! 20=Herbaceous Tundra 
   4.0e-1    4.0e-1    4.0e-1    1.0e+0   ! 21=Wooded Tundra 
   4.0e-1    4.0e-1    4.0e-1    1.0e+0   ! 22=Mixed Tundra 
   3.0e+0    3.0e+0    3.0e+0    1.0e+0   ! 23=Bare Tundra 
   1.0e+0    1.0e+0    1.0e+0    1.0e+0   ! 24=Snow or Ice 
   1.0e+0    2.0e+0    2.0e+0    1.0e+0   ! 25=Partly Developed 
   5.0e-1    1.0e+0    1.0e+0    1.0e+0   ! 26=Not Used 
   5.0e-1    1.0e+0    1.0e+0    1.0e+0   ! 27=Not Used 
   5.0e-1    1.0e+0    1.0e+0    1.0e+0   ! 28=Unclassified 
   1.0e+0    2.0e+0    2.0e+0    1.0e+0   ! 1001=Urban Superclass 
   5.0e-1    1.0e+0    1.0e+0    1.0e+0   ! 1002=Grassland Superclass
